1,9,Schweden,Marcus & Martinus,Unforgettable
2,3,Ukraine,Alyona Alyona & Jerry Heil,Teresa & Maria
3,12,Deutschland,Isaak,Always on the Run
4,13,Luxemburg,Tali,Fighter
6,5,Israel,Eden Golan,Hurricane
7,14,Litauen,Silvester Belt,Luktelk
8,22,Spanien,Nebulossa,Zorra
9,20,Estland,5miinust x Puuluup,(Nendest) narkootikumidest ei tea me (küll) midagi
10,6,Irland,Bambie Thug,Doomsday Blue
11,16,Lettland,Dons,Hollow
12,11,Griechenland,Marina Satti,Zári
13,18,Vereinigtes Königreich,Olly Alexander,Dizzy
14,25,Norwegen,Gåte,Ulveham
15,7,Italien,Angelina Mango,La noia
16,17,Serbien,Teya Dora,Ramonda
17,19,Finnland,Windows95man,No Rules!
18,10,Portugal,Iolanda,Grito
19,8,Armenien,Ladaniva,Jako
20,15,Zypern,Silia Kapsis,Liar
21,1,Schweiz,Nemo,The Code
22,23,Slowenien,Raiven,Veronika
23,2,Kroatien,Baby Lasagna,Rim tim tagi dim
24,21,Georgien,Nuza Busaladse,Firefighter
25,4,Frankreich,Slimane,Mon amour
26,24,Österreich,Kaleen,We Will Rave
